smiles,1syh_score,4lde_score,6y2f_score
O=C(c1ccc(O)c(O)c1)c1c(O)oc(O)c1O,-9.7,-9.5,-6.8
O=C(C1=C(O)OCOC=C1O)c1ccc(O)c(O)c1,-8.7,-9.6,-6.5
OOC1=C(CCc2ccc(O)c(O)c2)COOC(O)=C1,-7.7,-9.7,-7.2
OOC1=C(CCc2ccc(O)c(O)c2)CONC(O)=C1,-7.4,-9.7,-7.2
O=C(CCC1=C(O)ONOOC1)c1ccc(O)c(O)c1,-8.3,-10.0,-7.5
O=C(c1ccc(O)c(O)c1O)c1c(O)oc(O)c1O,-10.3,-9.6,-6.9
O=C(c1ccc(O)c(O)c1)c1c(O)cc(O)nc1O,-9.4,-9.9,-6.9
O=C(c1ccc(O)c(O)c1)c1c(O)ccc(O)c1O,-9.0,-9.9,-7.0
O=C(c1ccc(O)c(O)c1)c1c(O)cc(O)cc1O,-9.2,-10.0,-7.0
O=C(c1ccc(O)c(O)c1)c1c2cc(O)cc1OO2,-7.7,-9.4,-6.5
ON=C(c1ccc(O)c(O)c1O)c1c(O)oc(O)c1O,-10.4,-9.9,-7.1
O=C(C1=C(O)C=COC=C1O)c1ccc(O)c(O)c1,-8.7,-9.9,-6.6
ONc1c(COc2ccc(O)cc2O)ccc2ooo[nH]c12,-8.7,-10.3,-6.7
ONc1c(COc2cc(F)c(O)cc2O)ccn2ooocc12,-7.7,-10.1,-6.8
O=C(C1=C(O)OC(O)C=C1O)c1ccc(O)c(O)c1,-8.3,-9.9,-6.8
OC1=CC(O)=C(OCc2ccc(O)c(O)c2)C(O)OO1,-8.3,-9.7,-7.6
O=C(C1=C(O)OCC(O)=C1O)c1ccc(O)c(O)c1,-8.8,-9.6,-6.9
O=C1C=CC(=O)c2c(O)c(NC=C(O)O)cc(O)c21,-10.5,-9.9,-7.9
ONc1c(COc2cc(F)c(O)cc2O)ccc2ooo[nH]c12,-8.4,-10.6,-7.6
O=C(C1=C(O)C(O)=C(O)C1O)c1ccc(O)c(O)c1,-10.2,-10.3,-6.9
C=c1ooo[nH]c1=CC1=C(O)c2cc(c(O)cc2O)OC1,-8.5,-9.8,-7.4
CCCC(C[Ge](=O)OC1NC(=O)NC(=NO)C1F)NC(=O)NO,-7.2,-10.8,-8.0
CC(O)(C[Ge](=O)OC1NC(=O)NC(=NO)C1F)NC(=O)NO,-11.1,-11.2,-8.7
NC(=O)NC(=O)C(O)C[Ge](=O)OC1NC(=O)NC(=O)C1F,-10.2,-10.8,-7.8
CC(N)(C[Ge](=O)OC1NC(=O)NC(=NO)C1F)N=C(O)NO,-10.8,-11.1,-8.4
NC(=O)NC(=O)C(F)C[Ge](=O)OC1NC(=O)NC(=O)C1F,-10.4,-10.8,-7.9
NC(=O)NC(=O)C(O)C[Ge](=O)OC1NC(=O)NC(=NO)C1F,-10.8,-11.1,-8.2
O=NC(=O)CC(F)C[Ge](=O)CC(=O)C1NC(=O)NC(=O)C1F,-10.2,-10.1,-7.3
CC1(OO)NNNC1[Ge](=O)O[Ge](=O)C1NC(=O)NC(=O)C1F,-7.1,-10.2,-8.5
[N-]=[N+]=Nc1ccc(CNc2cc(=O)[nH]c(=O)[nH]2)cc1O,-8.7,-10.0,-6.6
NC(=O)N=C=CC(F)C[Ge](=O)O[Ge](=O)C1NNNC(OO)C1=O,-8.5,-10.0,-7.8
NC(O)C(N)C(F)C[Ge](=O)C[Ge](=O)C1NC(=O)OC(=O)C1F,-8.8,-10.6,-7.7
NC(=O)NC(=O)C(F)C[Ge](=O)O[Ge](=O)C1NNNC(OO)C1=O,-10.0,-11.3,-8.1
NC(=O)CC(=O)C(F)C[Ge](=O)C[Ge](=O)C1NNNC(OO)C1=O,-8.3,-10.4,-7.4
CC(C[Ge](=O)C[Ge](=O)C1NNNC(OO)C1=O)C(=O)CC(N)=O,-7.4,-10.1,-6.9
O=C1NC(=O)C(F)C([Ge](=O)O[Ge](=O)C2NNNC(O)C2=O)N1,-8.8,-10.7,-10.1
NC(C(=O)O)C(F)C[Ge](=O)C[Ge](=O)C1NC(=O)OC(=O)C1F,-8.6,-10.6,-7.3
O=C1CC([Ge](=O)O[Ge](=O)C2NC(=O)NC(=O)C2F)=C(O)N1,-9.4,-10.3,-8.2
NC(=O)C(O)C(F)C[Ge](=O)C[Ge](=O)C1NC(=O)NC(=O)C1F,-8.8,-10.1,-7.7
NC(=O)C(O)C(F)C[Ge](=O)C[Ge](=O)C1NC(=O)OC(=O)C1F,-8.5,-10.1,-7.4
NC1=C([Ge](=O)O[Ge](=O)C2C(=O)NC(=O)C2F)C(=O)NC1O,-8.5,-11.1,-8.4
NN(O)C(=O)C(F)C[Ge](=O)O[Ge](=O)C1NC(=O)OC(=O)C1F,-9.6,-11.0,-7.1
O=CNOC1=C([Ge](=O)C[Ge](=O)C2NC(=O)NC(=O)C2F)CNN1,-9.4,-10.6,-7.6
O=C1NC(=O)C(F)C([Ge](=O)O[Ge](=O)C2=C(O)CN(O)C2)N1,-8.7,-10.8,-8.4
NC(=O)C(=O)C(F)C[Ge](=O)C[Ge](=O)C1NC(=O)NC(=O)C1F,-8.7,-10.5,-7.6
O=C1NC(=O)C([Ge](=O)O[Ge](=O)C2C(=O)NC(=O)C2F)=C1O,-9.4,-10.4,-7.9
O=C1C=C([Ge](=O)O[Ge](=O)C2NC(=O)NC(=O)C2F)C(=O)N1,-9.2,-10.5,-8.0
CC(C[Ge](=O)C[Ge](=O)C1(C(=O)COO)NNN1)C(=O)CC(N)=O,-9.0,-10.1,-6.8
