smiles,singlet-triplet value,oscillator strength,abs_diff_vee
NSSC(S)CNC=CO,0.09717668111362343,0.012357561755584771,0.6254691718640193
SC1CC=CCSOCSS1,0.751184148663993,0.0031267318110186912,2.714847281828286
CCNC1NN1SCSSCSN,0.25544967109651395,0.015035327127548759,1.3985967465397593
[N-]OC=CNCC(S)SSN,-10000.0,-10000.0,10000.0
NSCSSCSN1NC1CCC=O,0.07044036833834744,0.0003258296784229356,0.39489193730431627
N[SH]1=C(CI)C1NCSS,-10000.0,-10000.0,10000.0
C=[SH]OC1(N)S[SH]1O,0.2670565234487865,0.001700292215131849,2.077705469621059
OSC1COCNC(CSCSCS)N1,0.5125849115080698,0.0027464162849895214,2.078147030481709
Nc1sc(=O)sc1Nc1ccoc1,0.1619012490215166,0.0009404949189787262,0.3583084486316186
CSOC1COCNC(CSCSCS)N1,0.7451205563784371,0.0008398079500032346,2.74822603643255
C[SH]1(NO)C(NN=O)N1N,-10000.0,-10000.0,10000.0
C=[SH]OC1=C(N)SN(O)S1,0.30143435307576905,8.370993850429481e-05,1.246700920669758
NC(S)SC(=NBr)Nc1ccoc1,0.4402859537005712,0.0015850955805353294,1.2985529926178216
NC(CC=CSCNCCOC=C=O)SCS,0.4688179887204138,0.0005493407594159326,1.805710846375888
C=[O+]CONC(=NBr)SC(N)S,-10000.0,-10000.0,10000.0
NC1=CNC2=COC2[SH]1(S)S,-10000.0,-10000.0,10000.0
C[SH]1(NO)C(N)N1C=NN=O,-10000.0,-10000.0,10000.0
C=[SH]#COC1=C(N)SN(O)S1,0.44952631587421643,5.7987680497007714e-05,3.1086221207757916
NC(C=O)=CCO[SH]=CSC(S)S,0.4276330054937083,0.004775164413908862,1.355334760901532
N[SH]1=C(CI)C1NCS[SH]=O,-10000.0,-10000.0,10000.0
[O+]SOC1COCNC(CSCSCS)N1,-10000.0,-10000.0,10000.0
NNN1SC1C=[SH]NCC(N)[O+],-10000.0,-10000.0,10000.0
