smiles,dipm,gap,lumo,combined,pce_pcbm_sas,pce_pcdtbt_sas,pce_1,pce_2,sas,homo
c1sc(-c2[SiH2]c(cc2)-c2ccc(-c3scc4occc34)c3cscc23)c2Cccc12,1.796,1.347577863,-8.0064,10.8024,-1.061257017,-4.382104802,3.320847785,0,4.382104802,-6.658822137
c1ccc(C2=Cc3oc4c(c3C2)c2c[nH]cc2c2ccc3=CCC=c3c42)c2ccccc12,3.025,1.55839576,-7.394,11.419,-3.188264534,-3.607923762,0.419659228,0,3.607923762,-5.83560424
c1cc2sc3cc4ccc5cscc5c4cc3c2c2cCcc12,1.778,1.764236227,-7.7828,10.5608,-0.767370482,-3.361486261,2.59411578,0,3.361486261,-6.018563773
[nH]1c2cc(-c3ccc[se]3)c3c[nH]cc3c2c2c1c1[se]ccc1c1=CCC=c21,2.031,1.887796806,-7.3293,10.3603,-3.572658526,-4.618361859,1.045703333,0,4.618361859,-5.441503194
[SiH2]1C=CC=C1c1cc2sc3c4[se]ccc4c4cocc4c3c2c2cocc12,1.372,1.637808754,-7.9145,10.2865,-1.675278874,-4.853093483,3.177814609,0,4.853093483,-6.276691246
c1cc2oc3c4sc(cc4c4nsnc4c3c2s1)-c1scc2cc[se]c12,2.597,1.558916762,-8.3064,11.9034,1.208829861,-4.186104637,5.394934498,0,4.186104637,-6.747483238
[nH]1c(cc2ccc3c4[SiH2]C=Cc4cnc3c12)-c1cccc2cscc12,0.492,2.003656119,-7.6592,9.1512,-1.643885627,-3.718176775,2.074291147,0,3.718176775,-5.655543881
c1cc2c(cn1)c1c3cocc3c3cc(ccc3c1c1=C[SiH2]C=c21)-c1cccc2nsnc12,3.696,1.338192838,-8.3421,13.0381,1.987211406,-3.824109577,5.811320983,0,3.824109577,-7.003907162
c1Cc(cc1)-c1sc(-c2sc(c3Cccc23)-c2scc3[nH]ccc23)c2occc12,3.521,1.240644034,-7.79,12.311,-2.8414023,-4.085613463,1.244211163,0,4.085613463,-6.549355966
[nH]1c2ccncc2c2ncc3cc([se]c3c12)-c1ccccn1,6.366,2.016054755,-7.9037,15.2697,-0.524334772,-3.310689091,2.786354319,0,3.310689091,-5.887645245
c1ccc(-c2ccc(o2)-c2ccc(s2)-c2ncncn2)c2cscc12,4.226,1.572435991,-8.3511,13.5771,2.667982639,-2.971014313,5.638996953,0,2.971014313,-6.778664009
c1ccc(nc1)-c1cnc2c(c1)c1ccccc1c1c3ccccc3cnc21,2.356,2.020720636,-7.7205,11.0765,-0.122690524,-2.359722929,2.237032405,0,2.359722929,-5.699779364
c1ccc([se]1)-c1cc2[se]c3c(ccc4ccc5cscc5c34)c2c2=CCC=c12,2.239,1.581531984,-7.9331,11.1721,-1.050199464,-4.299214688,3.249015223,0,4.299214688,-6.351568016
