smiles,1syh score,4lde score,6y2f score,time (s)
FC(F)(F)c1cc(NC(=O)/C(=N\NC(=O)C(=O)NN)/C(c2c(cccc2)C)C#N)ccc1,11.2,-8.2,-7.7,69.22499465942383
Brc1c(O)c(/C=C/NC(=S)NC2C3C4C(C(C3)C2)CC=C4)cc(Br)c1,0.3,-10.0,-7.0,30.058323860168457
O=c1n(N2C(=N/C(=C\c3cc(O)ccc3)/C2=O)c2ccccc2)c(nc2c1cccc2)c1ccccc1,23.4,-0.3,-8.6,60.665932178497314
[Si](OC1C(O[Si](C(C)(C)C)(C)C)C(OC1n1c(=O)[nH]c(=O)cc1)/C=N\O)(C(C)(C)C)(C)C,19.7,1.1,-7.9,58.45488381385803
Fc1ccc(C2(O)CCN(CC2)CC(=O)N2CCN(CC2)C/C=C/c2ccccc2)cc1,14.2,-10.0,-7.3,52.73771405220032
O=C(Nc1c(cccc1)C(=O)NN)/C(=C/c1ccccc1)/NC(=O)c1ccccc1,11.6,-8.7,-7.7,50.4983172416687
OC(=O)C(NC(=O)/C(=C/c1ccc(N(C)C)cc1)/NC(=O)c1ccccc1)Cc1c2c([nH]c1)cccc2,18.8,-3.3,-7.5,91.31696128845216
OC(=O)C(NC(=O)/C(=C/c1ccccc1)/NC(=O)c1ccccc1)CC(=O)O,3.6,-8.0,-7.5,51.77969408035278
O1C(Nc2c(C1=O)cccc2)/C(=C/c1ccccc1)/NC(=O)c1ccccc1,11.9,-9.5,-7.6,32.70330739021301
o1c(nc2c(c1=O)cccc2)/C(=C/c1ccccc1)/NC(=O)c1ccccc1,11.3,-9.2,-7.7,31.474219799041748
O=c1nc2n(nc(c(n2)/C=C/c2ccc(N(C)C)cc2)C)c(N)c1,25.2,-9.9,-6.2,18.63337230682373
[O-][N+](=O)c1cc2c(-c3c(/C/2=C\c2ccc(O)cc2)cccc3)cc1,-1.6,-9.1,-7.9,17.23914098739624
O1CCN(CC1)c1c(n2c([nH]/c(=C\c3ccccc3)/c2=O)nc1=O)N,22.8,-10.0,-6.5,19.61788892745972
O=c1n(N2C(=N/C(=C\c3c(O)cccc3)/C2=O)c2ccccc2)c(nc2c1cccc2)c1ccccc1,35.6,1.5,-8.0,59.28111410140991
O=c1n(N2C(=N/C(=C\c3c(O)cccc3)/C2=O)C)c(nc2c1cccc2)c1ccccc1,23.2,-4.1,-7.7,38.41999650001526
S(=O)(=O)(N/N=C/1\C(OC(=C1O)N)c1cc2OCOc2cc1)c1ccccc1,1.0,-9.2,-7.7,35.91873049736023
Clc1c(/C=C/c2nc3c([nH]c2=O)cccc3)cccc1,6.5,-9.9,-6.6,10.872541427612305
O1C(n2cc(c(=O)[nH]c2=O)C)CCC1/C=N\O,-9.1,-7.6,-5.7,9.70897364616394
Brc1c(/C(=C/c2ccc(N(C)C)cc2)/C#N)cccc1,5.9,-10.0,-5.3,16.109046697616577
ONC(C1CCC/C(=C\c2cc3OCCOc3cc2)/C/1=N\O)c1cc2OCCOc2cc1,5.9,-8.0,-7.9,52.36161684989929
O(C(=O)c1nc(nc(c1C(=O)/C=C/c1ccccc1)C(=O)OC)N)C,-2.5,-10.0,-6.5,32.3405077457428
N(=C\1/Cc2c3c1cccc3ccc2)\N,-9.2,-9.4,-5.0,5.676713466644287
Clc1cc(/C=C/2\N=C(N(n3c(nc4c(c3=O)cccc4)c3ccccc3)C2=O)C)ccc1,26.5,-3.8,-7.6,38.911664724349976
ONC(C/C(=N/O)/C=C/c1ccc(OC)cc1)c1ccc(OC)cc1,-1.7,-9.9,-6.7,37.16771149635315
Brc1cc2/C(=C\3/SC(=O)N(Cc4[nH]c5c(n4)cccc5)C3=O)/C(=O)N(c2cc1)C,21.5,-7.9,-7.5,25.45600295066833
S(=O)(=O)(N/N=C\1/CC(CC(=C1)C)(C)C)c1ccc([N+](=O)[O-])cc1,-1.5,-10.0,-6.5,23.81317663192749
O(/N=C/1\CCCC\C1=C/c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1,2.4,-10.0,-6.9,33.187039613723755
O=C1N(Cc2ccccc2)C(=O)/C(=N\N)/C1C(=O)NCc1ccccc1,3.2,-9.6,-7.6,33.118520736694336
[O-][N+](=O)c1ccc(N(/N=C\c2c3c(ncc2)cccc3)C)cc1,-2.7,-10.0,-6.3,22.58105444908142
S=C1NC(=O)C(=C/C=C/c2ccc([N+](=O)[O-])cc2)C(=O)N1,7.5,-9.9,-6.3,16.810186862945557
O=C(Nc1ccc(/N=N/c2ccccc2)cc1)/C=C/C(=O)O,22.7,-9.9,-6.3,26.673091411590576
