smiles,homo,lumo
c1sc(C2=Cc3sc4c(c3C2)c2=C[SiH2]C=c2c2cccnc42)c2C=CCc12,-6.518593999,-7.9966
c1cnc(s1)-c1ccc([se]1)-c1Cc(cc1)-c1ccccn1,-6.506379292,-8.1528
[nH]1ccc2cnc3c(ccc4cc(-c5ccccc5)c5ccccc5c34)c12,-4.656925735,-7.1057
[nH]1c(ccc1-c1ccc(nc1)-c1scc2cc[SiH2]c12)-c1scc2ccCc12,-5.512080982,-7.5672
c1ncc(s1)-c1cc2c3nsnc3c3c(c2o1)c1=C[SiH2]C=c1c1ccc2=CCC=c2c31,-6.818975209,-8.3325
[nH]1cccc1-c1cc2c3c[nH]cc3c3C=CCc3c2[se]1,-5.153713479,-7.1071
c1cc2c3c[nH]cc3c3cc4cc(-c5cncc6nsnc56)c5c[nH]cc5c4cc3c2o1,-7.416013874,-8.3999
[nH]1ccc2[se]c3cc(-c4cncs4)c4cocc4c3c12,-5.932181665,-7.857
c1cc2c([se]1)c1c(c3[se]c(cc3c3=C[SiH2]C=c13)-c1ccccc1)c1ccccc21,-6.701210272,-8.0965
[nH]1ccc2cc3[nH]c4cc([nH]c4c3cc12)-c1nccs1,-5.236081883,-7.2512
c1sc(-c2cnc3c(c2)c2=CCC=c2c2c4ncccc4c4cocc4c32)c2ccoc12,-6.29840582,-7.9541
[nH]1c(cc2ncc3c4cnccc4c4=C[SiH2]C=c4c3c12)-c1cccnc1,-6.68103859,-8.2786
c1sc(-c2ccc(-c3ccc(-c4scc5occc45)c4nsnc34)c3cocc23)c2occc12,-7.243839037,-8.3957
c1Cc(cc1)-c1ccc(s1)-c1ccc(-c2cccc3c[SiH2]cc23)c2cscc12,-6.637042933,-8.0249
c1cc2c(o1)c1c3nsnc3c3cc(-c4cncs4)c4nsnc4c3c1c1ccccc21,-7.173469739,-8.6835
c1sc(C2=Cc3sc4c(c3C2)c2=C[SiH2]C=c2c2ccc3=CCC=c3c42)c2[nH]ccc12,-7.02995971,-8.0223
[nH]1ccc2c1c1[se]c3cc([se]c3c1c1=C[SiH2]C=c21)-c1cccnc1,-6.500599802,-7.9637
c1sc(-c2cnc(s2)-c2ccc(s2)-c2cccc3nsnc23)c2sccc12,-7.239641762,-8.512
c1ccc(-c2cc3cnc4c(ncc5ccc6c[nH]cc6c45)c3c3nsnc23)c2cocc12,-6.995478553,-8.1848
c1[SiH2]c2c(c1)c1cocc1c1c2c2cocc2c2ccc3nsnc3c12,-6.800478848,-8.2113
c1sc(c2Cccc12)-c1sc(-c2Cc(cc2)-c2scc3occc23)c2[SiH2]ccc12,-6.475170336,-7.9301
c1cnc(s1)-c1ncc(-c2ccc([se]2)-c2scc3[se]ccc23)c2nsnc12,-8.138958084,-8.9986
c1sc(-c2sc(-c3sc(-c4cncc5nsnc45)c4ccoc34)c3occc23)c2ccoc12,-7.765050848,-8.6676
c1sc(c2CC=Cc12)-c1cc2cc3cnc4ccc5cscc5c4c3cc2c2c[nH]cc12,-5.853817829,-7.7187
c1sc(c2C=C[SiH2]c12)-c1ccc2c(c1)[se]c1ccc3ccccc3c21,-5.305443585,-7.6015
c1sc(-c2ccc3c(c2)c2nsnc2c2ccncc32)c2cc[nH]c12,-6.571144964,-8.1192
c1cc2ncc3c4c5nsnc5c(cc4c4ccccc4c3c2o1)-c1scc2[se]ccc12,-7.116694494,-8.4921
c1sc(-c2cc3cc4ncc5ccc6cscc6c5c4cc3c3=C[SiH2]C=c23)c2[nH]ccc12,-6.487234057,-7.9521
c1sc(c2[SiH2]ccc12)-c1sc(-c2ccc(nc2)-c2scc3[nH]ccc23)c2ccCc12,-6.035336265,-7.722
[nH]1ccc2cnc3cc4cc(-c5scc6cc[nH]c56)c5=CCC=c5c4cc3c12,-5.690017258,-7.4889
[nH]1c(cc2ncc3c4ccccc4c4=CCC=c4c3c12)-c1scc2ccsc12,-5.893821156,-7.7694
C1C(=Cc2ccc3c4[SiH2]C=Cc4[se]c3c12)c1cccs1,-6.099160297,-7.6172
c1cnc(s1)-c1cc2oc3ccc4cocc4c3c2c2cscc12,-6.283965134,-8.0593
c1cc2c3cscc3c3c(c4cocc4c4ccc5ccccc5c34)c2c2nsnc12,-6.794820994,-8.2884
c1ccc2c(c1)c1c[nH]cc1c1c3CC(=Cc3c3=CCC=c3c21)c1nccc2nsnc12,-7.487786251,-8.3588
c1ccc(C2=Cc3cc4c(cc3C2)c2c3cocc3ccc2c2=C[SiH2]C=c42)c2cocc12,-6.307853221,-7.8384
c1sc(-c2sc(-c3sc(-c4ccccc4)c4cc[nH]c34)c3nccnc23)c2[se]ccc12,-7.614646794,-8.4495
[nH]1c(cc2[SiH2]c3c(-c12)c1=CCC=c1c1ccc2cscc2c31)C1=CC=CC1,-6.543498544,-7.7675
c1cc2c(s1)c1c(c3[SiH2]C(=Cc3c3=C[SiH2]C=c13)c1scc3cc[nH]c13)c1=CCC=c21,-7.307177002,-8.1202
c1ncc(s1)-c1cnc(-c2ccc(-c3scc4[se]ccc34)c3cscc23)c2nsnc12,-7.815465774,-8.8308
[nH]1ccc2Cc3c(-c12)c1nsnc1c1cc(ccc31)-c1cccc2ccccc12,-6.367306864,-7.9708
[nH]1cccc1-c1sc(-c2ccc(s2)-c2nccc3nsnc23)c2ccoc12,-7.51926153,-8.5479
c1sc(C2=Cc3ncc4c5ncccc5c5c[nH]cc5c4c3[SiH2]2)c2[SiH2]C=Cc12,-5.965969819,-7.7026
[nH]1c(ccc1-c1scc2Cccc12)-c1ccc(o1)-c1cccc2cocc12,-5.748364519,-7.5364
